16310	90	634	115	661	0   # Big Mario Tail - Running Left Frame 1
16311	60	634	84	661	0   # Big Mario Tail - Running Left Frame 2
16312	31	634	55	661	0   # Big Mario Tail - Running Left Frame 3

# JUMP WALK RIGHT & LEFT
16400	392	752	417	780	0   # Big Mario Tail - Jump Walk Right
16410	28	752	55	780	0   # Big Mario Tail - Jump Walk Left

# JUMP RUN RIGHT & LEFT
16420	360	712	385	741	0   	# Big Mario Tail - Jump Run Right
16430	61	712	85	741	0	# Big Mario Tail - Jump Run Left

# SIT RIGHT & LEFT
16500	421	717	444	737	0   	# Big Mario Tail - Sit Right
16510	30	717	55	737	0	# Big Mario Tail - Sit Left

# BRACE RIGHT & LEFT
16600	423	631	442	663	0   # Big Mario Tail - Brace Right
16610	3	631	22	663	0   # Big Mario Tail - Brace Left

# BIG MARIO WITH TAIL HOLDING SHELL
# IDLE RIGHT & LEFT
17000	242	794	264	822	0   # Big Mario Tail - Hold Idle Right
17001	179	794	205	822	0   # Big Mario Tail - Hold Idle Left

# RUNNING RIGHT & LEFT
17100	272	794	296	822	0   # Big Mario Tail - Hold Running Right Frame 1
17101	304	794	326	822	0   # Big Mario Tail - Hold Running Right Frame 2
17110	150	794	175	822	0   # Big Mario Tail - Hold Running Left Frame 1
17111	120	794	144	822	0   # Big Mario Tail - Hold Running Left Frame 2

# KICK RIGHT & LEFT
17200	421	752	444	783	0   # Big Mario Tail - Kick Right
17210	2	752	25	783	0   # Big Mario Tail - Kick Left

############ SMALL ################
 #IDLE
12121	247	0	260	15	0
12111	187	0	200	15	0

#WALK RIGHT
12222	275	0	292	15	0
12223	306	0	321	15	0

#WALK LEFT
12212	155	0	170	15	0
12213	125	0	140	15	0

#RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

#RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

#BRACE RIGHT & LEFT
12511	6	0	19	15	0
12521	426	0	439	15	0

#JUMP WALK RIGHT & LEFT 
12413	35	80	50	95	0
12417	395	80	410	95	0

#JUMP RUN RIGHT & LEFT 
12423	65	40	80	55	0
12427	365	40	380	55	0

################# HOLD_SHELL_SMALL###############

#IDLE 2 (SPRITE)
15000	365	118	380	136	0
15001	65	118	81	136	0

#RUNNING RIGHT 2
15002	245	118	260	136	0
15003	275	118	291	136	0

#RUNNING LEFT 2
15004	186	118	200	136	0
15005	154	118	172	136	0

#KICK RIGHT & LEFT 2
15006	425	79	441	96	0
15007	5	79	21	96	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

#HOLD_SHELL_BIG

#IDLE
2001	14000	100
2002	14001	100

#RUNNING RIGHT & LEFT
2003	14002	100	14003	100
2004	14004	100	14005	100

#KICK RIGHT&LEFT
2005	14006	100
2006	14007	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#HOLD_SHELL_SMALL

#IDLE
2100	15000	100
2101	15001	100

#RUNNING RIGHT & LEFT
2102	15002	100	15003	100
2103	15004	100	15005	100

#KICK RIGHT&LEFT
2104	15006	100
2105	15007	100

# MARIO RACCOON ANIMATIONS (TAIL)

# IDLE RIGHT & LEFT
3000	16100	100
3001	16101	100

# WALKING RIGHT & LEFT
3100	16100	100	16200	100	16201	100
3101	16101	100	16210	100	16211	100

# RUNNING RIGHT & LEFT
3200	16300	50	16301	50	16302	50
3201	16310	50	16311	50	16312	50

# JUMP WALK RIGHT & LEFT
3300	16400	100
3301	16410	100

# JUMP RUN RIGHT & LEFT
3400	16420	100
3401	16430	100

# SIT RIGHT & LEFT
3500	16500	100
3501	16510	100

# BRACE RIGHT & LEFT
3600	16600	100
3601	16610	100

# MARIO RACCOON HOLDING SHELL ANIMATIONS

# IDLE RIGHT & LEFT
3700	17000	100
3701	17001	100

# RUNNING RIGHT & LEFT
3800	17100	100	17101	100
3801	17110	100	17111	100

# KICK RIGHT & LEFT
3900	17200	100
3901	17210	100

